id,customer_id,details_id,details_type
187811,52542,131997,HomeDetails
182670,75115,126856,HomeDetails
195645,37804,139830,HomeDetails
110311,51826,53978,HomeDetails
185386,40640,129572,HomeDetails
172170,112320,115866,HomeDetails
180058,34276,124244,HomeDetails
96119,37499,39755,HomeDetails
187050,42569,131236,HomeDetails
189307,124525,133493,HomeDetails
158312,99127,102008,HomeDetails
104779,46211,48433,HomeDetails
160244,100974,103940,HomeDetails
166240,106657,109936,HomeDetails
168378,108686,112074,HomeDetails
169808,110046,113504,HomeDetails
120507,62171,64192,HomeDetails
192224,126590,136410,HomeDetails
187442,96575,131628,HomeDetails
182319,98995,126505,HomeDetails
180829,119980,125015,HomeDetails
180299,47443,124485,HomeDetails
152796,58762,96492,HomeDetails
180513,119867,124699,HomeDetails
96798,38187,40434,HomeDetails
110425,51940,54092,HomeDetails
171685,111851,115381,HomeDetails
94761,36097,38396,HomeDetails
181425,95421,125611,HomeDetails
170019,110246,113715,HomeDetails
99800,41293,43437,HomeDetails
193350,127513,137536,HomeDetails
104214,45625,47868,HomeDetails
162003,102639,105699,HomeDetails
192256,126590,136442,HomeDetails
180778,13494,124964,HomeDetails
155603,96534,99299,HomeDetails
92320,33215,35888,HomeDetails
180649,32837,124835,HomeDetails
110050,51557,53717,HomeDetails
196066,62593,140252,HomeDetails
180485,33013,124671,HomeDetails
104038,45475,47691,HomeDetails
170500,110709,114196,HomeDetails
193439,55428,137626,HomeDetails
167256,107633,110952,HomeDetails
93510,34691,37078,HomeDetails
100745,42230,44382,HomeDetails
190652,57645,134838,HomeDetails
97038,38436,40674,HomeDetails
135113,76503,78809,HomeDetails
150939,91966,94635,HomeDetails
112330,53868,56000,HomeDetails
154196,95139,97892,HomeDetails
102527,44006,46165,HomeDetails
98860,40328,42497,HomeDetails
190552,124908,134738,HomeDetails
178298,118137,122331,HomeDetails
94482,35809,38117,HomeDetails
144283,85470,87979,HomeDetails
120578,62241,64263,HomeDetails
160485,101060,104181,HomeDetails
91989,32895,35557,HomeDetails
187145,78023,131331,HomeDetails
155952,96872,99648,HomeDetails
176859,116781,120878,HomeDetails
175311,115306,119007,HomeDetails
117181,58803,60858,HomeDetails
90832,3895,3171,HomeDetails
