id,state
37234,TX
131005,IA
44256,OH
35557,TX
38676,TN
39336,CA
40355,CA
41245,AL
42613,NY
45437,NJ
46896,GA
47360,MD
62892,CA
106856,DE
49700,OH
49853,OH
49911,PA
51331,NY
51762,MS
53266,MO
53422,CA
72009,WV
55498,GA
57022,LA
126502,
58721,IL
58641,TN
113715,VA
60282,OH
60858,MO
64192,FL
64330,IN
64625,MN
127141,
71803,TX
95917,MI
77175,AR
79597,TX
81600,NC
92003,SC
100695,NC
47159,IL
105852,OH
131331,TX
96889,TX
97492,FL
103865,CA
103920,CT
104164,IL
60460,IN
36851,AZ
101753,CT
134909,TX
108479,TN
128170,IA
52689,AL
116435,WV
116347,MD
112488,FL
115175,KY
113266,FL
113424,TX
128702,FL
121516,FL
121863,NV
139091,CO
122944,TX
124381,SC
124479,NV
124977,MI
128832,MD
142267,NC
139885,TX
131161,VA
131797,IL
131774,TX
140172,MD
133332,FL
134002,MD
37526,AL
35892,TX
39931,OK
42047,CA
67540,FL
68502,CA
95448,AL
69736,NY
107690,NC
127574,
136685,MS
45876,TX
125611,
44434,TX
49088,CT
50623,NJ
51330,GA
64311,OR
54092,MD
53847,PA
53978,UT
70403,NC
54993,CA
126504,
58072,KY
85163,CT
131233,TN
82634,TX
113873,MI
85705,MN
135953,TX
99582,AR
103739,UT
99009,CO
99019,MO
99760,GA
105699,IL
108909,IL
98641,KS
99983,PA
103412,AZ
71528,VA
81537,PA
117528,MN
114196,WV
121056,MA
46114,NY
42761,FL
120427,IL
122277,AZ
122331,OH
123060,SC
123480,ID
124112,MD
124582,CA
127859,MA
128200,FL
129267,TN
144550,IN
129677,TX
142233,WI
132462,FL
139830,CO
130995,SC
131195,TX
131507,MI
142734,KY
140303,VA
135995,CA
136410,FL
141041,MN
37092,WI
41293,CA
130993,SC
46619,CA
125585,
51418,VA
64312,OH
51442,AL
54541,MA
56222,OR
57085,TX
126501,
126505,
58270,FL
126611,
59590,MO
69274,TN
43513,NY
36693,FL
36828,PA
47323,PA
40486,NV
69549,CA
61814,AR
61860,IL
126856,
126880,
86697,TX
64624,MN
66274,MA
70312,AL
73340,CO
39178,AZ
93714,OR
78809,AZ
96438,SC
130351,CA
89382,MN
97832,OH
97855,MD
102524,TN
102385,NY
99751,OH
94779,NC
100462,OH
43531,CT
45390,NY
39149,TN
40376,OH
42552,GA
44603,SC
47995,NY
71849,OH
49899,GA
52258,IN
55854,KY
57900,TX
126598,
48081,MN
105077,NJ
5627,NC
35978,CO
38436,OH
72138,KS
118461,NC
115587,IL
108161,CA
134865,MO
107162,OH
114195,WV
117791,TX
120236,VA
124193,FL
116419,PA
129165,MD
116657,NY
111471,VA
124727,CA
119049,VA
61078,NC
61685,GA
64112,AZ
65272,TX
71380,WI
137415,TX
128687,FL
141523,NC
141642,IN
141818,TX
127708,AZ
127770,CA
128110,NC
139865,GA
131667,OH
131902,AZ
132947,TX
134720,ND
134921,MD
141142,VA
135945,PA
97964,CA
132001,WI
47150,OH
99770,KS
94357,AZ
96010,VA
96292,OH
49888,GA
59259,MS
81516,NJ
134816,IL
106736,IN
120227,IL
109657,TN
109693,SC
110318,VA
110989,AL
119012,IL
124835,TX
112269,OH
125015,NY
51519,FL
120176,NC
123313,GA
124651,NY
124559,NY
125150,NY
128860,TX
144540,TX
130827,CA
131110,FL
132423,TN
133581,FL
135255,NJ
135553,TX
137276,VA
37820,GA
40850,OH
42545,CT
42842,CT
35888,AR
39828,TX
41772,CA
42410,NJ
42497,MD
43210,SC
43489,NY
44564,CT
125255,
62263,MD
51659,TX
52811,IN
54789,MD
56047,MD
60846,IL
75531,OH
69978,KY
69823,IN
82294,PA
84614,TN
100153,FL
135990,OH
100316,CA
95679,CA
95948,CA
131332,TX
100042,GA
39322,NJ
103417,FL
104161,GA
20061,CA
22998,CO
36630,MS
133517,MD
115856,NJ
128185,CA
120221,FL
114330,CO
109994,TX
114577,MN
111412,PA
124823,MS
128588,CA
128685,PA
44720,TN
108040,IN
128260,GA
139679,CA
128916,IN
129023,TN
142248,CA
130392,OH
139831,TX
131330,MI
131630,NM
131663,AZ
131726,WA
131952,CA
25162,AZ
35803,OR
38087,OK
127734,AZ
38801,TN
39518,CA
46137,OR
40326,FL
40832,MD
39435,OR
39942,IN
49094,VA
125735,
50085,AR
50597,SC
125898,
55400,OH
86435,WI
57234,MA
59159,NV
36059,PA
37782,KY
39671,TN
46251,CA
37525,FL
48433,IL
125658,
84351,GA
55469,FL
63345,FL
64131,NC
127069,
89928,TX
75620,GA
127492,
127534,
70985,MI
127769,CA
103352,CA
78461,IL
91877,OH
91466,NC
80511,FL
87979,FL
130352,CA
131236,TN
105483,OR
106005,NY
135928,FL
101018,OH
131996,KY
101598,IA
95048,FL
95923,PA
97058,OR
101869,MO
43976,MD
102853,TX
60225,IN
106487,IL
36898,GA
37418,NC
99290,CA
114058,GA
114071,CO
128389,CA
117814,IL
129485,FL
135883,MA
97830,TX
90425,TN
102008,CA
131981,AR
80382,TX
13126,AZ
43511,CA
96143,OH
96159,PA
100039,IN
94713,TX
126878,
62833,TX
63828,GA
66910,OH
127340,
127485,
127533,
127535,
74393,IN
80939,MI
95944,MN
79624,OH
87977,GA
98805,NY
60069,KY
133379,CT
105038,CA
37466,SC
121027,ME
107641,MA
107673,TX
115644,FL
134866,MO
120511,TN
116457,VA
117906,WV
46593,NY
113604,AR
121305,TN
129435,MA
116675,ID
116754,MA
111177,IN
111457,MN
138697,NM
115018,TX
44798,GA
135636,GA
131017,NV
112792,IN
105205,SC
103552,FL
113649,SC
141476,GA
143796,OH
143778,FL
123654,TX
124485,PA
141876,OH
56117,SC
107611,GA
130484,NC
131225,CT
131329,TX
140220,TN
134764,VA
135841,CA
136911,MA
83329,TX
141265,MD
141329,TX
141370,NY
112879,IL
113108,TN
39024,NH
113047,TX
117398,DC
122823,OH
139093,MO
124840,CO
122979,IN
124980,MI
49649,PA
139474,SC
101845,CT
142060,AZ
119221,GA
129487,AZ
142245,CA
139863,GA
140244,WI
56156,AL
140252,MN
134464,MD
135231,NY
44382,TN
38641,CA
39526,GA
41641,PA
43919,MS
47753,CO
47999,NV
53731,AR
48527,CA
125616,
49809,IN
57337,MA
126494,
57527,MO
61975,TX
62752,MI
66612,SC
127204,
136651,TX
70984,MI
80275,TN
87350,VA
89267,CO
89786,MA
99583,OH
39709,MO
45182,PA
39350,IA
44185,OH
45862,FL
47691,NC
47835,NJ
49167,NY
63458,PA
50355,NJ
50716,WA
53347,TN
56393,AZ
56837,CO
57371,NC
126595,
72747,NJ
96795,CT
106572,TN
58133,AZ
132579,UT
105076,TN
113954,TN
107584,IA
115966,TN
108898,MD
124497,TX
128416,TX
119381,AZ
118760,VA
116321,NC
116529,ID
121296,NC
121357,MS
119893,IN
124788,CO
124964,AZ
112849,VA
128590,CA
121953,CT
141836,OH
127665,NJ
142228,NC
142250,CA
142381,NJ
130956,IL
139900,GA
131699,KY
131746,IN
134522,CA
134549,NY
47465,NJ
41837,MI
42693,MD
42957,VA
43641,CA
60980,NC
45699,IN
47037,CT
48663,TN
48914,GA
49973,MD
54944,MD
80278,NY
58480,MO
77478,UT
47707,FL
127241,
127509,
70585,FL
92497,TN
107695,VA
92996,WA
78723,MA
90547,PA
81071,CA
135879,NJ
97290,MN
97724,GA
137623,MO
105477,CA
137659,CO
83490,GA
136035,CA
136065,FL
87710,VA
131953,CA
101159,OH
101377,VA
95331,OH
99299,MT
99344,NM
86772,TN
86786,FL
87625,FL
89510,PA
102845,TX
131980,AR
97898,OH
97897,GA
98179,MD
101922,GA
95565,AL
95916,NC
56211,NY
134794,FL
36751,CO
