"id","policy_type","asset_id","carrier_id","customer_id","lead_id","premium","sale_date","effective_date","expiration_date","cancellation_date","status","lead_id","transaction_type","renewed_policy_id"
"1856","home",,"8","37152","39495","798.000000000000000000","2018-06-19","2018-06-27","2019-06-27",,"renewed","39495","new_business",
"31241","auto",,"9","124428","129504","4212.630000000000000000","2020-01-10","2020-01-19","2021-01-19",,"active","129504","new_business",
"15807","home",,"9","81857","84912","2054.230000000000000000","2019-06-14","2019-07-03","2020-07-03",,"active","84912","rewrite",
"16216","condo",,"12","38436","40773","441.060000000000000000","2018-08-01","2019-08-15","2020-08-15",,"active","40773","renewal","2445"
"2401","home",,"6","23595","24797","494.010000000000000000","2017-07-18","2018-08-02","2019-08-02",,"renewed","24797","renewal",
"26900","home",,"8","41895","44237","824.000000000000000000","2018-09-20","2019-11-12","2020-11-12",,"active","44237","renewal","3608"
"2768","home",,"13","35164","37512","1843.000000000000000000","2018-08-07","2018-09-15","2019-09-15",,"renewed","37512","rewrite",
"26049","home","174452","8","114489","119125","1704.000000000000000000","2019-11-18","2019-12-05","2020-12-05","2019-12-05","cancelled","119125","new_business",
"4380","home",,"20","3814","2718","953.000000000000000000","2017-05-01","2018-10-17","2019-10-17",,"renewed","2718","rewrite",
"4434","auto",,"6","33337","35686","1240.880000000000000000","2017-10-17","2018-11-06","2019-11-06",,"renewed","35686","renewal","536"
"4795","auto",,"9","36531","38867","1351.820000000000000000","2018-05-26","2018-12-01","2019-06-01",,"renewed","38867","renewal","1550"
"26906","home",,"17","44816","47182","919.000000000000000000","2018-10-22","2019-11-23","2020-11-23",,"active","47182","renewal","4624"
"5783","home",,"7","14639","18445","885.150000000000000000","2017-06-23","2018-06-28","2019-06-28",,"renewed","18445","renewal","180"
"7183","home",,"8","34388","36752","858.000000000000000000","2018-01-17","2019-02-16","2020-02-16","2019-09-14","cancelled","36752","renewal","778"
